激活类型,消耗类型,消耗数量,删除称号,消耗满足,变量
出入江湖,元宝,499999,,500000,S$出入江湖
从零开始,元宝,999999,出入江湖,1000000,S$从零开始
大杀四方,元宝,2999999,"出入江湖,从零开始",3000000,S$大杀四方
剑走江湖,元宝,4999999,"出入江湖,从零开始,大杀四方",5000000,S$剑走江湖
霸气十足,元宝,9999999,"出入江湖,从零开始,大杀四方,剑走江湖",10000000,S$霸气十足
盛世至尊,元宝,49999999,"出入江湖,从零开始,大杀四方,剑走江湖,霸气十足",50000000,S$盛世至尊
初学子弟,点卡,49999,,50000,S$初学子弟
初窥武学,点卡,99999,初学子弟,100000,S$初窥武学
天资过人,点卡,299999,"初学子弟,初窥武学",300000,S$天资过人
锋芒毕露,点卡,499999,"初学子弟,初窥武学,天资过人",500000,S$锋芒毕露
涉足江湖,点卡,999999,"初学子弟,初窥武学,天资过人,锋芒毕露",1000000,S$涉足江湖
开山力派,点卡,4999999,"初学子弟,初窥武学,天资过人,锋芒毕露,涉足江湖",5000000,S$开山力派
超级玩家,点券,4999,,5000,S$超级玩家
百万富翁,点券,9999,超级玩家,10000,S$百万富翁
独霸一方,点券,29999,"超级玩家,百万富翁",30000,S$独霸一方
富可敌国,点券,49999,"超级玩家,百万富翁,独霸一方",50000,S$富可敌国
世纪富豪,点券,99999,"超级玩家,百万富翁,独霸一方,富可敌国",100000,S$世纪富豪
浩瀚灭天,点券,199999,"超级玩家,百万富翁,独霸一方,富可敌国,世纪富豪",200000,S$浩瀚灭天
